time,pulse
2005.000000,0.000000
2005.050049,-0.001117
2005.099976,-0.000279
2005.150024,0.009086
2005.199951,0.010555
2005.250000,0.016455
2005.300049,0.019186
2005.349976,0.028648
2005.400024,0.038293
2005.449951,0.040034
2005.500000,0.048447
2005.550049,0.058114
2005.599976,0.058774
2005.650024,0.062080
2005.699951,0.068136
2005.750000,0.075241
2005.800049,0.074747
2005.849976,0.078484
2005.900024,0.085264
2005.949951,0.098515
2006.000000,0.101519
2006.050049,0.116926
2006.099976,0.122345
2006.150024,0.129680
2006.199951,0.140092
2006.250000,0.148073
2006.300049,0.156047
2006.349976,0.165501
2006.400024,0.164938
2006.449951,0.176516
2006.500000,0.178420
2006.550049,0.173820
2006.599976,0.182513
2006.650024,0.181274
2006.699951,0.183747
2006.750000,0.176527
2006.800049,0.188720
2006.849976,0.183509
2006.900024,0.186844
2006.949951,0.181672
2007.000000,0.191367
2007.050049,0.195564
2007.099976,0.192323
2007.150024,0.208034
2007.199951,0.221452
2007.250000,0.222861
2007.300049,0.245952
2007.349976,0.262167
2007.400024,0.287835
2007.449951,0.306618
2007.500000,0.326559
2007.550049,0.349624
2007.599976,0.374045
2007.650024,0.383733
2007.699951,0.402926
2007.750000,0.408362
2007.800049,0.422784
2007.849976,0.420869
2007.900024,0.414252
2007.949951,0.418983
2008.000000,0.386739
2008.050049,0.381213
2008.099976,0.353362
2008.150024,0.331460
2008.199951,0.297207
2008.250000,0.273510
2008.300049,0.238114
2008.349976,0.201332
2008.400024,0.177355
2008.449951,0.146099
2008.500000,0.127952
2008.550049,0.104826
2008.599976,0.085505
2008.650024,0.090915
2008.699951,0.080014
2008.750000,0.089714
2008.800049,0.086452
2008.849976,0.087124
2008.900024,0.102428
2008.949951,0.105778
2009.000000,0.116431
2009.050049,0.119307
2009.099976,0.141722
2009.150024,0.142675
2009.199951,0.137695
2009.250000,0.141365
2009.300049,0.127600
2009.349976,0.123820
2009.400024,0.129217
2009.449951,0.112093
2009.500000,0.104350
2009.550049,0.095822
2009.599976,0.091283
2009.650024,0.075453
2009.699951,0.070130
2009.750000,0.061922
2009.800049,0.058997
2009.849976,0.062867
2009.900024,0.061215
2009.949951,0.053763
2010.000000,0.062666
2010.050049,0.055811
2010.099976,0.064097
2010.150024,0.063742
2010.199951,0.059460
2010.250000,0.059877
2010.300049,0.049281
2010.349976,0.048047
2010.400024,0.036382
2010.449951,0.028465
2010.500000,0.014741
2010.550049,0.008540
2010.599976,-0.010979
2010.650024,-0.021278
2010.699951,-0.028807
2010.750000,-0.035808
2010.800049,-0.046656
2010.849976,-0.050252
2010.900024,-0.062751
2010.949951,-0.064788
2011.000000,-0.069592
2011.050049,-0.071582
2011.099976,-0.084892
2011.150024,-0.094572
2011.199951,-0.102722
2011.250000,-0.105718
2011.300049,-0.127032
2011.349976,-0.139219
2011.400024,-0.146880
2011.449951,-0.158693
2011.500000,-0.157277
2011.550049,-0.169652
2011.599976,-0.176212
2011.650024,-0.181361
2011.699951,-0.176093
2011.750000,-0.174660
2011.800049,-0.165422
2011.849976,-0.164725
2011.900024,-0.157859
2011.949951,-0.136987
2012.000000,-0.132411
2012.050049,-0.107287
2012.099976,-0.099620
2012.150024,-0.093463
2012.199951,-0.070071
2012.250000,-0.059117
2012.300049,-0.052168
2012.349976,-0.042183
2012.400024,-0.031444
2012.449951,-0.035767
2012.500000,-0.034600
2012.550049,-0.043671
2012.599976,-0.048338
2012.650024,-0.054427
2012.699951,-0.064576
2012.750000,-0.081695
2012.800049,-0.097942
2012.849976,-0.104778
2012.900024,-0.119401
2012.949951,-0.119722
2013.000000,-0.125591
2013.050049,-0.124550
2013.099976,-0.135132
2013.150024,-0.132352
2013.199951,-0.123388
2013.250000,-0.115577
2013.300049,-0.111314
2013.349976,-0.101801
2013.400024,-0.090929
2013.449951,-0.081970
2013.500000,-0.061722
2013.550049,-0.042583
2013.599976,-0.043131
2013.650024,-0.035088
2013.699951,-0.012909
2013.750000,-0.005286
2013.800049,-0.000510
2013.849976,0.005862
2013.900024,0.011346
2013.949951,0.016285
2014.000000,0.015056
2014.050049,0.017989
2014.099976,0.008585
2014.150024,-0.009057
2014.199951,-0.007459
2014.250000,-0.023796
2014.300049,-0.029626
2014.349976,-0.036360
2014.400024,-0.050757
2014.449951,-0.057735
2014.500000,-0.055470
2014.550049,-0.053042
2014.599976,-0.053989
2014.650024,-0.050142
2014.699951,-0.047383
2014.750000,-0.045477
2014.800049,-0.038313
2014.849976,-0.025739
2014.900024,-0.030379
2014.949951,-0.022984
2015.000000,-0.013416
2015.050049,-0.014091
2015.099976,-0.002255
