time,pulse
2005.000000,0.000000
2005.050049,0.003075
2005.099976,-0.002336
2005.150024,0.003416
2005.199951,0.003740
2005.250000,-0.005567
2005.300049,0.013757
2005.349976,-0.000157
2005.400024,0.009637
2005.449951,0.013879
2005.500000,0.010040
2005.550049,0.013326
2005.599976,0.006861
2005.650024,0.008475
2005.699951,0.002180
2005.750000,0.006789
2005.800049,0.002881
2005.849976,0.003676
2005.900024,0.004295
2005.949951,0.004680
2006.000000,0.002901
2006.050049,0.011469
2006.099976,0.008747
2006.150024,0.016270
2006.199951,0.004291
2006.250000,0.005477
2006.300049,0.005085
2006.349976,-0.001231
2006.400024,-0.010592
2006.449951,-0.017432
2006.500000,-0.027290
2006.550049,-0.035696
2006.599976,-0.050036
2006.650024,-0.055574
2006.699951,-0.072398
2006.750000,-0.083205
2006.800049,-0.085118
2006.849976,-0.101038
2006.900024,-0.096153
2006.949951,-0.101371
2007.000000,-0.099770
2007.050049,-0.101436
2007.099976,-0.089612
2007.150024,-0.079844
2007.199951,-0.067193
2007.250000,-0.054327
2007.300049,-0.040050
2007.349976,-0.020292
2007.400024,0.001282
2007.449951,0.012350
2007.500000,0.032092
2007.550049,0.051463
2007.599976,0.057838
2007.650024,0.069036
2007.699951,0.070734
2007.750000,0.071609
2007.800049,0.074146
2007.849976,0.061395
2007.900024,0.050127
2007.949951,0.044704
2008.000000,0.025718
2008.050049,0.002946
2008.099976,-0.006042
2008.150024,-0.016766
2008.199951,-0.032590
2008.250000,-0.050196
2008.300049,-0.059187
2008.349976,-0.057528
2008.400024,-0.056324
2008.449951,-0.060049
2008.500000,-0.052039
2008.550049,-0.036742
2008.599976,-0.032301
2008.650024,-0.016394
2008.699951,-0.014947
2008.750000,0.002052
2008.800049,0.009675
2008.849976,0.031630
2008.900024,0.024489
2008.949951,0.032530
2009.000000,0.048421
2009.050049,0.047766
2009.099976,0.048306
2009.150024,0.042963
2009.199951,0.047719
2009.250000,0.042013
2009.300049,0.037592
2009.349976,0.042632
2009.400024,0.045390
2009.449951,0.044547
2009.500000,0.046510
2009.550049,0.052608
2009.599976,0.060800
