time,pulse
2005.000000,0.000000
2005.050049,0.003558
2005.099976,0.004867
2005.150024,0.010365
2005.199951,0.009018
2005.250000,0.009267
2005.300049,0.009196
2005.349976,0.002374
2005.400024,0.004002
2005.449951,0.001356
2005.500000,-0.002554
2005.550049,-0.011787
2005.599976,-0.008632
2005.650024,-0.013010
2005.699951,-0.025961
2005.750000,-0.022373
2005.800049,-0.039864
2005.849976,-0.035526
2005.900024,-0.044335
2005.949951,-0.046889
2006.000000,-0.054745
2006.050049,-0.051561
2006.099976,-0.064098
2006.150024,-0.068146
2006.199951,-0.069859
2006.250000,-0.079084
2006.300049,-0.080193
2006.349976,-0.081762
2006.400024,-0.073940
2006.449951,-0.080727
2006.500000,-0.078504
2006.550049,-0.084059
2006.599976,-0.081219
2006.650024,-0.083549
2006.699951,-0.082127
2006.750000,-0.069642
2006.800049,-0.075571
2006.849976,-0.069152
2006.900024,-0.076120
2006.949951,-0.073215
2007.000000,-0.073254
2007.050049,-0.082979
2007.099976,-0.089496
2007.150024,-0.100993
2007.199951,-0.106326
2007.250000,-0.122390
2007.300049,-0.133564
2007.349976,-0.142030
2007.400024,-0.151379
2007.449951,-0.164017
2007.500000,-0.164792
2007.550049,-0.175193
2007.599976,-0.176970
2007.650024,-0.184140
2007.699951,-0.177592
2007.750000,-0.175566
2007.800049,-0.173869
2007.849976,-0.179001
2007.900024,-0.173260
2007.949951,-0.176450
2008.000000,-0.176845
2008.050049,-0.174701
2008.099976,-0.176189
2008.150024,-0.171027
2008.199951,-0.170184
2008.250000,-0.166234
2008.300049,-0.164474
2008.349976,-0.155073
2008.400024,-0.151797
2008.449951,-0.147028
2008.500000,-0.141898
2008.550049,-0.137486
2008.599976,-0.132298
2008.650024,-0.123277
2008.699951,-0.126163
2008.750000,-0.112631
2008.800049,-0.112574
2008.849976,-0.102719
2008.900024,-0.108485
2008.949951,-0.098927
2009.000000,-0.092571
2009.050049,-0.084414
2009.099976,-0.071044
2009.150024,-0.071004
2009.199951,-0.063728
2009.250000,-0.054499
2009.300049,-0.050995
2009.349976,-0.039225
2009.400024,-0.031587
2009.449951,-0.024594
2009.500000,-0.017236
2009.550049,-0.014719
2009.599976,-0.007125
2009.650024,0.005733
2009.699951,0.005618
2009.750000,0.005511
2009.800049,0.017570
2009.849976,0.028226
2009.900024,0.032994
2009.949951,0.046741
2010.000000,0.047224
2010.050049,0.059079
2010.099976,0.067039
2010.150024,0.068884
2010.199951,0.074373
2010.250000,0.083022
2010.300049,0.087360
2010.349976,0.091586
2010.400024,0.094583
2010.449951,0.102854
2010.500000,0.102763
2010.550049,0.104338
2010.599976,0.095489
2010.650024,0.100122
2010.699951,0.097464
2010.750000,0.090917
2010.800049,0.082210
2010.849976,0.073197
2010.900024,0.063873
2010.949951,0.049273
2011.000000,0.041874
2011.050049,0.026376
2011.099976,0.020126
2011.150024,0.008647
2011.199951,-0.005716
2011.250000,-0.014425
2011.300049,-0.019864
2011.349976,-0.034997
2011.400024,-0.039503
2011.449951,-0.044653
2011.500000,-0.055808
2011.550049,-0.059533
2011.599976,-0.070710
2011.650024,-0.092658
2011.699951,-0.094247
2011.750000,-0.112657
2011.800049,-0.132700
2011.849976,-0.139114
2011.900024,-0.159784
2011.949951,-0.181115
2012.000000,-0.198915
2012.050049,-0.215726
2012.099976,-0.222519
2012.150024,-0.233661
2012.199951,-0.248151
2012.250000,-0.262333
2012.300049,-0.272424
2012.349976,-0.277267
2012.400024,-0.283031
2012.449951,-0.284473
2012.500000,-0.291339
2012.550049,-0.296642
2012.599976,-0.300304
2012.650024,-0.311109
2012.699951,-0.321604
2012.750000,-0.325097
2012.800049,-0.336205
2012.849976,-0.348872
2012.900024,-0.358452
2012.949951,-0.379620
2013.000000,-0.391988
2013.050049,-0.402389
2013.099976,-0.417232
2013.150024,-0.427657
2013.199951,-0.441630
2013.250000,-0.446330
2013.300049,-0.458007
2013.349976,-0.463261
2013.400024,-0.459982
2013.449951,-0.462608
2013.500000,-0.461834
2013.550049,-0.469113
2013.599976,-0.461595
2013.650024,-0.453117
2013.699951,-0.445332
2013.750000,-0.442331
2013.800049,-0.428405
2013.849976,-0.427231
2013.900024,-0.426098
2013.949951,-0.414629
2014.000000,-0.397788
2014.050049,-0.393759
2014.099976,-0.386438
2014.150024,-0.370502
2014.199951,-0.359942
2014.250000,-0.351388
2014.300049,-0.333592
2014.349976,-0.325130
2014.400024,-0.312316
2014.449951,-0.304103
2014.500000,-0.296088
2014.550049,-0.276402
2014.599976,-0.266022
2014.650024,-0.255739
2014.699951,-0.235062
2014.750000,-0.228937
2014.800049,-0.214284
2014.849976,-0.192703
2014.900024,-0.184905
2014.949951,-0.185306
2015.000000,-0.158271
2015.050049,-0.151788
2015.099976,-0.146797
2015.150024,-0.128577
2015.199951,-0.129768
2015.250000,-0.128135
2015.300049,-0.118073
2015.349976,-0.127451
2015.400024,-0.139381
2015.449951,-0.148143
2015.500000,-0.155909
2015.550049,-0.170487
2015.599976,-0.178281
2015.650024,-0.195918
2015.699951,-0.214575
2015.750000,-0.225820
2015.800049,-0.230579
2015.849976,-0.243835
2015.900024,-0.253905
2015.949951,-0.252021
2016.000000,-0.245257
2016.050049,-0.247147
2016.099976,-0.235107
2016.150024,-0.219155
2016.199951,-0.213264
2016.250000,-0.189374
2016.300049,-0.170223
2016.349976,-0.161288
2016.400024,-0.141785
2016.449951,-0.119332
2016.500000,-0.102721
2016.550049,-0.083147
2016.599976,-0.071733
2016.650024,-0.063003
2016.699951,-0.055144
2016.750000,-0.044134
2016.800049,-0.038068
2016.849976,-0.033650
2016.900024,-0.036531
2016.949951,-0.041530
2017.000000,-0.034823
2017.050049,-0.032240
2017.099976,-0.039913
2017.150024,-0.038947
2017.199951,-0.033417
2017.250000,-0.030082
2017.300049,-0.034338
2017.349976,-0.030409
2017.400024,-0.029476
2017.449951,-0.034697
2017.500000,-0.032126
2017.550049,-0.035246
2017.599976,-0.046773
2017.650024,-0.071333
2017.699951,-0.076845
2017.750000,-0.088771
2017.800049,-0.103777
2017.849976,-0.119405
2017.900024,-0.131089
2017.949951,-0.137228
2018.000000,-0.139655
2018.050049,-0.131751
2018.099976,-0.128813
2018.150024,-0.123172
2018.199951,-0.107093
2018.250000,-0.086045
2018.300049,-0.068599
2018.349976,-0.054740
2018.400024,-0.041822
2018.449951,-0.035694
2018.500000,-0.022360
2018.550049,-0.014038
2018.599976,-0.006108
2018.650024,-0.014351
2018.699951,-0.015476
2018.750000,-0.015314
2018.800049,-0.029424
2018.849976,-0.042837
2018.900024,-0.051747
2018.949951,-0.070384
2019.000000,-0.085519
2019.050049,-0.095258
2019.099976,-0.105238
2019.150024,-0.115749
2019.199951,-0.116748
2019.250000,-0.123124
2019.300049,-0.124385
2019.349976,-0.119207
2019.400024,-0.112689
2019.449951,-0.113401
2019.500000,-0.106362
2019.550049,-0.096098
2019.599976,-0.097647
2019.650024,-0.093885
2019.699951,-0.080952
2019.750000,-0.079416
2019.800049,-0.078188
2019.849976,-0.077298
2019.900024,-0.072768
2019.949951,-0.067527
2020.000000,-0.073157
2020.050049,-0.058559
2020.099976,-0.044195
2020.150024,-0.037810
2020.199951,-0.026857
2020.250000,-0.003127
2020.300049,0.012720
2020.349976,0.029922
2020.400024,0.060882
2020.449951,0.078661
2020.500000,0.090334
2020.550049,0.112853
2020.599976,0.128490
2020.650024,0.135830
2020.699951,0.151353
2020.750000,0.164473
2020.800049,0.166470
2020.849976,0.147312
2020.900024,0.157971
2020.949951,0.161425
2021.000000,0.149309
2021.050049,0.146764
2021.099976,0.137389
2021.150024,0.128569
2021.199951,0.136597
2021.250000,0.140711
2021.300049,0.132982
2021.349976,0.128394
2021.400024,0.134740
2021.449951,0.132000
2021.500000,0.124921
2021.550049,0.123877
2021.599976,0.114341
2021.650024,0.100540
2021.699951,0.082567
2021.750000,0.073798
2021.800049,0.070386
2021.849976,0.050002
2021.900024,0.031520
2021.949951,0.023183
2022.000000,0.014444
2022.050049,-0.008369
2022.099976,-0.019573
2022.150024,-0.024393
2022.199951,-0.033710
