time,pulse
2005.000000,0.000000
2005.050049,0.001401
2005.099976,0.003698
2005.150024,0.013411
2005.199951,0.021190
2005.250000,0.029487
2005.300049,0.035854
2005.349976,0.044752
2005.400024,0.050352
2005.449951,0.064111
2005.500000,0.076053
2005.550049,0.080122
2005.599976,0.083651
2005.650024,0.090369
2005.699951,0.082620
2005.750000,0.084897
2005.800049,0.072093
2005.849976,0.060854
2005.900024,0.042016
2005.949951,0.037907
2006.000000,0.013471
2006.050049,0.001523
2006.099976,-0.014018
2006.150024,-0.022010
2006.199951,-0.034095
2006.250000,-0.037779
2006.300049,-0.051798
2006.349976,-0.044349
2006.400024,-0.045406
2006.449951,-0.040286
2006.500000,-0.036678
2006.550049,-0.025097
2006.599976,-0.020612
2006.650024,-0.002563
2006.699951,-0.002429
2006.750000,0.016054
2006.800049,0.015955
2006.849976,0.029756
2006.900024,0.031907
2006.949951,0.031858
2007.000000,0.042025
2007.050049,0.033960
2007.099976,0.027806
2007.150024,0.028368
2007.199951,0.022796
2007.250000,0.012278
2007.300049,0.010111
2007.349976,0.004287
2007.400024,-0.005526
2007.449951,-0.009650
2007.500000,-0.018488
2007.550049,-0.010396
2007.599976,-0.028195
2007.650024,-0.021748
2007.699951,-0.027422
2007.750000,-0.028226
2007.800049,-0.024004
2007.849976,-0.024474
2007.900024,-0.026176
2007.949951,-0.018666
2008.000000,-0.020273
2008.050049,-0.022174
2008.099976,-0.026563
2008.150024,-0.029436
2008.199951,-0.029380
2008.250000,-0.034689
2008.300049,-0.038048
2008.349976,-0.044639
2008.400024,-0.052851
2008.449951,-0.061565
2008.500000,-0.063715
2008.550049,-0.071205
2008.599976,-0.067661
2008.650024,-0.076682
2008.699951,-0.071323
2008.750000,-0.075384
2008.800049,-0.067383
2008.849976,-0.066254
2008.900024,-0.054581
2008.949951,-0.042793
2009.000000,-0.041056
2009.050049,-0.027042
2009.099976,-0.012070
2009.150024,-0.002274
2009.199951,0.019288
2009.250000,0.027639
2009.300049,0.039651
2009.349976,0.055978
2009.400024,0.064218
2009.449951,0.072803
2009.500000,0.085220
2009.550049,0.088172
2009.599976,0.104614
2009.650024,0.101398
2009.699951,0.109645
2009.750000,0.103935
2009.800049,0.113988
2009.849976,0.111271
2009.900024,0.123927
2009.949951,0.127731
2010.000000,0.133058
2010.050049,0.148329
2010.099976,0.149545
2010.150024,0.165781
2010.199951,0.166909
2010.250000,0.170103
2010.300049,0.179626
2010.349976,0.168337
2010.400024,0.170077
2010.449951,0.170755
2010.500000,0.158121
2010.550049,0.152651
2010.599976,0.142446
2010.650024,0.127662
2010.699951,0.118596
2010.750000,0.104880
2010.800049,0.091776
2010.849976,0.077235
2010.900024,0.057588
2010.949951,0.047654
2011.000000,0.042317
2011.050049,0.021335
2011.099976,0.013298
2011.150024,0.015092
2011.199951,-0.003267
2011.250000,-0.001440
2011.300049,-0.000883
2011.349976,-0.006337
2011.400024,-0.009669
2011.449951,-0.012946
2011.500000,-0.016183
2011.550049,-0.011414
2011.599976,-0.021708
2011.650024,-0.029216
2011.699951,-0.039858
2011.750000,-0.048415
2011.800049,-0.056649
2011.849976,-0.072121
2011.900024,-0.089654
2011.949951,-0.099164
2012.000000,-0.111559
2012.050049,-0.124582
2012.099976,-0.132905
2012.150024,-0.141772
2012.199951,-0.155935
2012.250000,-0.162801
2012.300049,-0.172061
2012.349976,-0.183234
2012.400024,-0.193403
2012.449951,-0.202438
2012.500000,-0.214091
2012.550049,-0.223508
2012.599976,-0.228432
2012.650024,-0.243681
2012.699951,-0.253995
2012.750000,-0.269204
2012.800049,-0.285309
2012.849976,-0.298419
2012.900024,-0.305920
2012.949951,-0.324007
2013.000000,-0.338785
2013.050049,-0.348744
2013.099976,-0.366090
2013.150024,-0.370407
2013.199951,-0.374379
2013.250000,-0.385297
2013.300049,-0.396853
2013.349976,-0.399761
2013.400024,-0.401199
2013.449951,-0.395802
2013.500000,-0.407555
2013.550049,-0.411594
2013.599976,-0.404682
2013.650024,-0.393579
2013.699951,-0.402830
2013.750000,-0.386420
2013.800049,-0.382178
2013.849976,-0.378377
2013.900024,-0.356876
2013.949951,-0.347672
2014.000000,-0.336012
2014.050049,-0.314738
2014.099976,-0.307456
2014.150024,-0.286445
2014.199951,-0.263099
2014.250000,-0.244965
2014.300049,-0.229469
2014.349976,-0.211578
2014.400024,-0.187960
2014.449951,-0.176067
2014.500000,-0.165199
2014.550049,-0.144233
2014.599976,-0.128432
2014.650024,-0.124010
2014.699951,-0.112508
2014.750000,-0.115475
2014.800049,-0.128238
2014.849976,-0.132431
2014.900024,-0.142792
2014.949951,-0.164040
2015.000000,-0.175555
2015.050049,-0.202971
2015.099976,-0.235793
2015.150024,-0.255452
2015.199951,-0.272737
2015.250000,-0.297262
2015.300049,-0.316053
2015.349976,-0.313766
2015.400024,-0.323402
2015.449951,-0.328458
2015.500000,-0.324731
2015.550049,-0.312722
2015.599976,-0.299638
2015.650024,-0.288989
2015.699951,-0.280969
2015.750000,-0.259296
2015.800049,-0.245200
2015.849976,-0.216588
2015.900024,-0.202502
2015.949951,-0.198750
2016.000000,-0.169730
2016.050049,-0.152597
2016.099976,-0.148468
2016.150024,-0.137023
2016.199951,-0.127712
2016.250000,-0.117911
2016.300049,-0.108655
2016.349976,-0.099369
2016.400024,-0.087093
2016.449951,-0.081390
2016.500000,-0.078980
2016.550049,-0.069534
2016.599976,-0.050153
2016.650024,-0.037994
2016.699951,-0.030148
