time,pulse
2005.000000,0.000000
2005.050049,0.001604
2005.099976,0.005669
2005.150024,0.014658
2005.199951,0.008946
2005.250000,0.014137
2005.300049,0.012263
2005.349976,0.005106
2005.400024,-0.000468
2005.449951,-0.011331
2005.500000,-0.019829
2005.550049,-0.029156
2005.599976,-0.049873
2005.650024,-0.064675
2005.699951,-0.084294
2005.750000,-0.102682
2005.800049,-0.130707
2005.849976,-0.140059
2005.900024,-0.168523
2005.949951,-0.181442
2006.000000,-0.201218
2006.050049,-0.210241
2006.099976,-0.230726
2006.150024,-0.233613
2006.199951,-0.238212
2006.250000,-0.244450
2006.300049,-0.247678
2006.349976,-0.246519
2006.400024,-0.234978
2006.449951,-0.246331
2006.500000,-0.225652
2006.550049,-0.228911
2006.599976,-0.215944
2006.650024,-0.223830
2006.699951,-0.204314
2006.750000,-0.220757
2006.800049,-0.211399
2006.849976,-0.215325
2006.900024,-0.217515
2006.949951,-0.231274
2007.000000,-0.243512
2007.050049,-0.251991
2007.099976,-0.268738
2007.150024,-0.274403
2007.199951,-0.297895
2007.250000,-0.312176
2007.300049,-0.323906
2007.349976,-0.340608
2007.400024,-0.352770
2007.449951,-0.364493
2007.500000,-0.372012
2007.550049,-0.384104
2007.599976,-0.395873
2007.650024,-0.399121
2007.699951,-0.407480
2007.750000,-0.410143
2007.800049,-0.414524
2007.849976,-0.413359
2007.900024,-0.419312
2007.949951,-0.416763
2008.000000,-0.415737
2008.050049,-0.412568
2008.099976,-0.424277
2008.150024,-0.410236
2008.199951,-0.420882
2008.250000,-0.408094
2008.300049,-0.426361
2008.349976,-0.426102
2008.400024,-0.423777
2008.449951,-0.432433
2008.500000,-0.436404
2008.550049,-0.441830
2008.599976,-0.448695
2008.650024,-0.442039
2008.699951,-0.457110
2008.750000,-0.453066
2008.800049,-0.457425
2008.849976,-0.448581
2008.900024,-0.440701
2008.949951,-0.444492
2009.000000,-0.429197
2009.050049,-0.427677
2009.099976,-0.415276
2009.150024,-0.404496
2009.199951,-0.393601
2009.250000,-0.390972
2009.300049,-0.386349
2009.349976,-0.382124
2009.400024,-0.371576
2009.449951,-0.369241
2009.500000,-0.359750
2009.550049,-0.354166
2009.599976,-0.345190
2009.650024,-0.339527
2009.699951,-0.333746
2009.750000,-0.326481
2009.800049,-0.328111
2009.849976,-0.319044
2009.900024,-0.317725
2009.949951,-0.312769
2010.000000,-0.316559
2010.050049,-0.317997
2010.099976,-0.310947
2010.150024,-0.312997
2010.199951,-0.309915
2010.250000,-0.306523
2010.300049,-0.296601
2010.349976,-0.280957
2010.400024,-0.273648
2010.449951,-0.271307
2010.500000,-0.251546
2010.550049,-0.231538
2010.599976,-0.222478
2010.650024,-0.207565
2010.699951,-0.190673
2010.750000,-0.173260
2010.800049,-0.163625
2010.849976,-0.157071
2010.900024,-0.145074
2010.949951,-0.133990
2011.000000,-0.131467
2011.050049,-0.120042
2011.099976,-0.122590
2011.150024,-0.118960
2011.199951,-0.111216
2011.250000,-0.114659
2011.300049,-0.112048
2011.349976,-0.114174
2011.400024,-0.117390
2011.449951,-0.121857
2011.500000,-0.134821
2011.550049,-0.139937
2011.599976,-0.135801
2011.650024,-0.139111
2011.699951,-0.150043
2011.750000,-0.152858
2011.800049,-0.150475
2011.849976,-0.153621
2011.900024,-0.156197
2011.949951,-0.140683
2012.000000,-0.142459
2012.050049,-0.133272
2012.099976,-0.123182
2012.150024,-0.122297
2012.199951,-0.113025
2012.250000,-0.100740
2012.300049,-0.094182
2012.349976,-0.082024
2012.400024,-0.082837
2012.449951,-0.075113
2012.500000,-0.056729
2012.550049,-0.046254
2012.599976,-0.043118
2012.650024,-0.033173
2012.699951,-0.012770
2012.750000,-0.006098
2012.800049,0.009011
2012.849976,0.018456
2012.900024,0.022868
2012.949951,0.041619
2013.000000,0.043026
2013.050049,0.052982
2013.099976,0.065028
2013.150024,0.068816
2013.199951,0.084322
2013.250000,0.090121
2013.300049,0.099116
2013.349976,0.104700
2013.400024,0.125388
2013.449951,0.134270
2013.500000,0.140643
2013.550049,0.152359
2013.599976,0.155458
2013.650024,0.164898
2013.699951,0.175355
2013.750000,0.182704
2013.800049,0.186585
2013.849976,0.189624
2013.900024,0.196454
2013.949951,0.194657
2014.000000,0.194499
2014.050049,0.199395
2014.099976,0.196780
2014.150024,0.210719
2014.199951,0.210925
2014.250000,0.214653
2014.300049,0.223954
2014.349976,0.234369
2014.400024,0.250156
2014.449951,0.270297
2014.500000,0.281323
2014.550049,0.303969
2014.599976,0.326376
2014.650024,0.342776
2014.699951,0.358709
2014.750000,0.383385
2014.800049,0.398192
2014.849976,0.426593
2014.900024,0.446887
2014.949951,0.461579
2015.000000,0.483147
2015.050049,0.510881
2015.099976,0.523610
2015.150024,0.540289
2015.199951,0.564674
2015.250000,0.576648
2015.300049,0.583525
2015.349976,0.593950
2015.400024,0.589626
2015.449951,0.587492
2015.500000,0.586553
2015.550049,0.581974
2015.599976,0.581695
2015.650024,0.570391
2015.699951,0.558097
2015.750000,0.547295
2015.800049,0.541205
2015.849976,0.534895
2015.900024,0.529464
2015.949951,0.521734
2016.000000,0.509630
2016.050049,0.503297
2016.099976,0.494115
2016.150024,0.482103
2016.199951,0.477962
2016.250000,0.463580
2016.300049,0.454078
2016.349976,0.446915
2016.400024,0.441668
2016.449951,0.435265
2016.500000,0.431787
2016.550049,0.434651
2016.599976,0.437017
2016.650024,0.430878
2016.699951,0.434258
2016.750000,0.439432
2016.800049,0.424495
2016.849976,0.419126
2016.900024,0.420292
2016.949951,0.404025
2017.000000,0.387637
2017.050049,0.381898
2017.099976,0.371811
2017.150024,0.351558
2017.199951,0.338225
2017.250000,0.321716
2017.300049,0.306505
2017.349976,0.292326
2017.400024,0.276445
2017.449951,0.258971
2017.500000,0.237092
2017.550049,0.228100
2017.599976,0.216193
2017.650024,0.196615
2017.699951,0.176193
2017.750000,0.171201
2017.800049,0.159355
2017.849976,0.150826
2017.900024,0.151914
2017.949951,0.142526
2018.000000,0.133088
2018.050049,0.136523
2018.099976,0.134573
2018.150024,0.126769
2018.199951,0.127023
2018.250000,0.121044
2018.300049,0.111350
2018.349976,0.103791
2018.400024,0.093090
2018.449951,0.080039
2018.500000,0.071362
2018.550049,0.057767
2018.599976,0.054859
2018.650024,0.040484
2018.699951,0.031000
2018.750000,0.019727
2018.800049,0.011244
2018.849976,0.007826
2018.900024,0.000809
2018.949951,-0.008968
2019.000000,-0.006357
2019.050049,-0.006820
2019.099976,-0.009671
2019.150024,-0.007442
2019.199951,-0.003738
2019.250000,0.004099
2019.300049,0.004723
2019.349976,-0.004042
2019.400024,-0.002237
2019.449951,-0.011417
2019.500000,-0.012684
2019.550049,-0.011048
2019.599976,-0.030856
2019.650024,-0.034206
2019.699951,-0.024512
2019.750000,-0.038036
2019.800049,-0.044711
2019.849976,-0.034006
2019.900024,-0.042941
2019.949951,-0.043492
2020.000000,-0.028175
2020.050049,-0.036750
2020.099976,-0.042511
2020.150024,-0.036122
2020.199951,-0.044547
2020.250000,-0.041105
2020.300049,-0.049569
2020.349976,-0.044383
2020.400024,-0.056819
2020.449951,-0.064455
2020.500000,-0.050791
2020.550049,-0.047128
2020.599976,-0.045275
2020.650024,-0.049310
2020.699951,-0.037643
2020.750000,-0.026657
2020.800049,-0.024007
2020.849976,-0.005634
2020.900024,-0.000440
2020.949951,0.008042
2021.000000,0.023512
2021.050049,0.037696
2021.099976,0.046246
2021.150024,0.057065
2021.199951,0.073870
2021.250000,0.086259
2021.300049,0.096613
2021.349976,0.117538
2021.400024,0.122176
2021.449951,0.119543
2021.500000,0.137189
2021.550049,0.145495
2021.599976,0.151797
2021.650024,0.154424
2021.699951,0.160846
2021.750000,0.170425
2021.800049,0.179719
2021.849976,0.181063
2021.900024,0.186040
2021.949951,0.199529
2022.000000,0.208102
2022.050049,0.215437
2022.099976,0.230243
2022.150024,0.231446
2022.199951,0.235485
2022.250000,0.245465
2022.300049,0.249825
2022.349976,0.256798
2022.400024,0.256317
2022.449951,0.262975
2022.500000,0.266151
2022.550049,0.274964
2022.599976,0.281659
2022.650024,0.280726
2022.699951,0.296105
2022.750000,0.315265
2022.800049,0.327942
2022.849976,0.341454
2022.900024,0.363503
2022.949951,0.389772
2023.000000,0.394805
2023.050049,0.399737
2023.099976,0.412427
2023.150024,0.414032
2023.199951,0.414595
2023.250000,0.425217
2023.300049,0.433282
2023.349976,0.437130
2023.400024,0.444655
2023.449951,0.463547
2023.500000,0.486286
2023.550049,0.500646
2023.599976,0.515396
2023.650024,0.539486
2023.699951,0.559951
2023.750000,0.574253
2023.800049,0.593538
2023.849976,0.618480
2023.900024,0.637490
2023.949951,0.652302
2024.000000,0.681226
2024.050049,0.718729
2024.099976,0.740541
2024.150024,0.758956
2024.199951,0.753054
2024.250000,0.691077
2024.300049,0.548780
2024.349976,0.301653
2024.400024,-0.086377
2024.449951,-0.632979
2024.500000,-1.304649
2024.550049,-2.025334
2024.599976,-2.674870
2024.650024,-3.131948
2024.699951,-3.252402
2024.750000,-2.962235
2024.800049,-2.290633
2024.849976,-1.334840
2024.900024,-0.230817
2024.949951,0.859007
2025.000000,1.776897
2025.050049,2.436936
2025.099976,2.782766
2025.150024,2.811581
2025.199951,2.571487
2025.250000,2.158370
2025.300049,1.667860
2025.349976,1.167531
2025.400024,0.701235
2025.449951,0.309068
2025.500000,0.026117
2025.550049,-0.143358
2025.599976,-0.211274
2025.650024,-0.186653
2025.699951,-0.088239
2025.750000,0.019460
2025.800049,0.099893
2025.849976,0.132198
2025.900024,0.128392
2025.949951,0.068960
2026.000000,-0.058264
2026.050049,-0.210641
2026.099976,-0.331624
2026.150024,-0.404460
2026.199951,-0.384460
2026.250000,-0.242061
