time,pulse
2005.000000,0.000000
2005.050049,0.006977
2005.099976,0.007829
2005.150024,0.009721
2005.199951,0.003680
2005.250000,0.005878
2005.300049,0.006422
2005.349976,0.001720
2005.400024,0.010287
2005.449951,0.001086
2005.500000,0.000796
2005.550049,0.007590
2005.599976,0.005281
2005.650024,0.001283
2005.699951,0.004503
2005.750000,0.011515
2005.800049,-0.003747
2005.849976,0.003251
2005.900024,0.005914
2005.949951,0.000214
2006.000000,0.000924
2006.050049,-0.002480
2006.099976,-0.015488
2006.150024,-0.016717
2006.199951,-0.018436
2006.250000,-0.025768
2006.300049,-0.035049
2006.349976,-0.040970
2006.400024,-0.052533
2006.449951,-0.067470
2006.500000,-0.078716
2006.550049,-0.088600
2006.599976,-0.109736
2006.650024,-0.119133
2006.699951,-0.125105
2006.750000,-0.142300
2006.800049,-0.158022
2006.849976,-0.160362
2006.900024,-0.166896
2006.949951,-0.180457
2007.000000,-0.181490
2007.050049,-0.182848
2007.099976,-0.189509
2007.150024,-0.185142
2007.199951,-0.191716
2007.250000,-0.188474
2007.300049,-0.192348
2007.349976,-0.188332
2007.400024,-0.190395
2007.449951,-0.180459
2007.500000,-0.176979
2007.550049,-0.166711
2007.599976,-0.161349
2007.650024,-0.137931
2007.699951,-0.122853
2007.750000,-0.106563
2007.800049,-0.083193
2007.849976,-0.063993
2007.900024,-0.033894
2007.949951,-0.012877
2008.000000,0.004957
2008.050049,0.023928
2008.099976,0.023782
2008.150024,0.034344
2008.199951,0.031181
2008.250000,0.020453
2008.300049,0.005614
2008.349976,-0.016485
2008.400024,-0.046192
2008.449951,-0.074925
2008.500000,-0.114214
2008.550049,-0.133591
2008.599976,-0.171900
2008.650024,-0.203977
2008.699951,-0.232449
2008.750000,-0.261483
2008.800049,-0.266083
2008.849976,-0.288877
2008.900024,-0.288683
2008.949951,-0.283682
2009.000000,-0.275613
2009.050049,-0.257671
2009.099976,-0.247439
2009.150024,-0.224488
2009.199951,-0.196880
2009.250000,-0.170982
2009.300049,-0.150649
2009.349976,-0.135420
2009.400024,-0.116849
2009.449951,-0.096569
2009.500000,-0.085795
2009.550049,-0.075390
2009.599976,-0.065308
2009.650024,-0.063808
2009.699951,-0.066641
2009.750000,-0.068738
2009.800049,-0.068320
2009.849976,-0.062933
2009.900024,-0.067799
2009.949951,-0.079283
2010.000000,-0.070375
2010.050049,-0.084812
2010.099976,-0.086659
2010.150024,-0.092778
2010.199951,-0.109921
2010.250000,-0.104115
2010.300049,-0.115914
2010.349976,-0.127872
2010.400024,-0.136070
2010.449951,-0.145749
2010.500000,-0.170638
2010.550049,-0.183012
2010.599976,-0.197511
2010.650024,-0.209453
2010.699951,-0.225926
2010.750000,-0.248069
2010.800049,-0.262611
